buffer:0
buffer:1000
buffer:2000
buffer:3000
buffer:4000
buffer:5000
buffer:6000
buffer:7000
buffer:8000
buffer:9000
curren epsiode is 186, reward:-11.352439388275974,unbalance:584.5657563093692,buffer_length: 29000
curren epsiode is 187, reward:-10.54894117091631,unbalance:535.7992614066969,buffer_length: 29000
curren epsiode is 188, reward:-14.955174458842095,unbalance:994.1908354980264,buffer_length: 29000
curren epsiode is 189, reward:-9.115436264545393,unbalance:581.1031256267383,buffer_length: 29000
curren epsiode is 190, reward:-3.0569201443853378,unbalance:108.05876174379274,buffer_length: 29000
curren epsiode is 191, reward:-4.60454539347952,unbalance:131.29224478940938,buffer_length: 30000
curren epsiode is 192, reward:-15.210323492765092,unbalance:1001.3789696009317,buffer_length: 30000
curren epsiode is 193, reward:-15.853246502062635,unbalance:914.6301873661607,buffer_length: 30000
curren epsiode is 194, reward:-3.6905059775978493,unbalance:64.385895221797,buffer_length: 30000
curren epsiode is 195, reward:-9.308317801597356,unbalance:555.3387483456739,buffer_length: 30000
curren epsiode is 196, reward:-2.9975479038914288,unbalance:117.87422325208443,buffer_length: 30000
curren epsiode is 197, reward:-24.922446975150525,unbalance:1889.8637204773227,buffer_length: 30000
curren epsiode is 198, reward:-25.119475518098433,unbalance:1840.0404636400165,buffer_length: 30000
curren epsiode is 199, reward:-5.833649414206434,unbalance:79.89774721797627,buffer_length: 30000
curren epsiode is 200, reward:-6.935038455248033,unbalance:163.396168364378,buffer_length: 30000
curren epsiode is 201, reward:-2.614212107933971,unbalance:6.989435378263899,buffer_length: 31000
curren epsiode is 202, reward:-19.97737252489824,unbalance:1541.2836045255467,buffer_length: 31000
curren epsiode is 203, reward:-17.801726077221197,unbalance:1382.844791283795,buffer_length: 31000
curren epsiode is 204, reward:-22.800742319165806,unbalance:1767.5002537574867,buffer_length: 31000
curren epsiode is 205, reward:-5.243494198633827,unbalance:175.58724886356583,buffer_length: 31000
curren epsiode is 206, reward:-9.006259306257316,unbalance:307.73198510491653,buffer_length: 31000
curren epsiode is 207, reward:-13.213593014643175,unbalance:793.5697192317945,buffer_length: 31000
curren epsiode is 208, reward:-7.967848262565335,unbalance:331.2037288568542,buffer_length: 31000
curren epsiode is 209, reward:-24.641464892228566,unbalance:1965.7854835494488,buffer_length: 31000
curren epsiode is 210, reward:-7.466591885820377,unbalance:344.0860999359405,buffer_length: 31000
curren epsiode is 211, reward:-19.425675095744488,unbalance:1603.036659864303,buffer_length: 32000
curren epsiode is 212, reward:-9.115463175256073,unbalance:353.73977200593373,buffer_length: 32000
curren epsiode is 213, reward:-24.57776315020419,unbalance:1916.547382017799,buffer_length: 32000
curren epsiode is 214, reward:-4.303195541159447,unbalance:178.05731785124186,buffer_length: 32000
curren epsiode is 215, reward:-25.176682997053348,unbalance:1849.6334112243387,buffer_length: 32000
curren epsiode is 216, reward:-12.996916375937486,unbalance:861.9599858261705,buffer_length: 32000
curren epsiode is 217, reward:-18.85190113544113,unbalance:1472.4267483464719,buffer_length: 32000
curren epsiode is 218, reward:-3.5283429162706508,unbalance:0.9487961704937078,buffer_length: 32000
curren epsiode is 219, reward:-7.653448978731562,unbalance:379.0963485647544,buffer_length: 32000
curren epsiode is 220, reward:-4.1100904975254675,unbalance:175.87318540489372,buffer_length: 32000
curren epsiode is 221, reward:-25.097865992620594,unbalance:2053.401559608145,buffer_length: 33000
curren epsiode is 222, reward:-22.081420997080606,unbalance:1706.5760253971127,buffer_length: 33000
curren epsiode is 223, reward:-23.474977166684237,unbalance:1877.3071731024647,buffer_length: 33000
curren epsiode is 224, reward:-17.738100523186823,unbalance:1377.361688047076,buffer_length: 33000
curren epsiode is 225, reward:-3.2119714352012037,unbalance:128.29506032234008,buffer_length: 33000
curren epsiode is 226, reward:-23.528362041206293,unbalance:1792.232950950385,buffer_length: 33000
curren epsiode is 227, reward:-7.801852049246481,unbalance:328.7843251729756,buffer_length: 33000
curren epsiode is 228, reward:-6.625476706197375,unbalance:280.24507739888264,buffer_length: 33000
curren epsiode is 229, reward:-11.232302408642333,unbalance:808.4076422181731,buffer_length: 33000
curren epsiode is 230, reward:-10.955177802886228,unbalance:573.309197664041,buffer_length: 33000
curren epsiode is 231, reward:-11.040775142638358,unbalance:661.8048550308671,buffer_length: 34000
curren epsiode is 232, reward:-6.728287039475515,unbalance:231.0328487025024,buffer_length: 34000
curren epsiode is 233, reward:-10.92722859872721,unbalance:515.8695743751392,buffer_length: 34000
