buffer:0
buffer:1000
buffer:2000
buffer:3000
buffer:4000
buffer:5000
buffer:6000
buffer:7000
buffer:8000
buffer:9000
curren epsiode is 257, reward:-20.816266498662525,unbalance:1337.0157915895097,buffer_length: 36000
curren epsiode is 258, reward:-6.318216246806198,unbalance:83.30885171473045,buffer_length: 36000
curren epsiode is 259, reward:-2.269032562163283,unbalance:0.0,buffer_length: 36000
curren epsiode is 260, reward:-4.6475613849943835,unbalance:24.019239040837192,buffer_length: 36000
curren epsiode is 261, reward:-6.130609544916012,unbalance:229.93669713666847,buffer_length: 37000
curren epsiode is 262, reward:-2.02473648272508,unbalance:0.0,buffer_length: 37000
curren epsiode is 263, reward:-21.793711937038704,unbalance:1374.8683036170894,buffer_length: 37000
curren epsiode is 264, reward:-5.543219900597241,unbalance:151.02442249439008,buffer_length: 37000
curren epsiode is 265, reward:-6.823211427984461,unbalance:140.74295251877834,buffer_length: 37000
curren epsiode is 266, reward:-4.050257149905698,unbalance:127.32837325695027,buffer_length: 37000
curren epsiode is 267, reward:-4.0091066150401,unbalance:47.98956860328852,buffer_length: 37000
curren epsiode is 268, reward:-6.50616526555266,unbalance:251.68665584789966,buffer_length: 37000
curren epsiode is 269, reward:-5.142307413217018,unbalance:45.261308354056524,buffer_length: 37000
curren epsiode is 270, reward:-18.12603617022614,unbalance:1276.2173540308909,buffer_length: 37000
curren epsiode is 271, reward:-6.243486758493813,unbalance:169.50825605341947,buffer_length: 38000
curren epsiode is 272, reward:-4.706422194942334,unbalance:110.03771753091272,buffer_length: 38000
curren epsiode is 273, reward:-14.798983304108983,unbalance:759.5823420557188,buffer_length: 38000
curren epsiode is 274, reward:-12.708075301156482,unbalance:797.4335479132146,buffer_length: 38000
curren epsiode is 275, reward:-8.156435956509943,unbalance:238.80940561510016,buffer_length: 38000
curren epsiode is 276, reward:-3.2827049997784936,unbalance:3.180740346572094,buffer_length: 38000
curren epsiode is 277, reward:-0.8783822007426949,unbalance:0.0,buffer_length: 38000
curren epsiode is 278, reward:-3.5865542920978823,unbalance:36.057141909801004,buffer_length: 38000
curren epsiode is 279, reward:-10.009313834984729,unbalance:353.99804074831684,buffer_length: 38000
curren epsiode is 280, reward:-4.497187086906037,unbalance:66.58513731108741,buffer_length: 38000
curren epsiode is 281, reward:-5.975248974131003,unbalance:113.90477139967729,buffer_length: 39000
curren epsiode is 282, reward:-18.057476723263054,unbalance:1171.7463070994418,buffer_length: 39000
curren epsiode is 283, reward:-5.205569820202342,unbalance:105.44124024682006,buffer_length: 39000
curren epsiode is 284, reward:-5.394865410818332,unbalance:110.28017814048866,buffer_length: 39000
curren epsiode is 285, reward:-2.8238158674554388,unbalance:21.063044413442015,buffer_length: 39000
curren epsiode is 286, reward:-5.598210950582529,unbalance:221.84118964290775,buffer_length: 39000
curren epsiode is 287, reward:-2.955210056874833,unbalance:48.11195596767675,buffer_length: 39000
curren epsiode is 288, reward:-18.347012002271935,unbalance:1074.819396942341,buffer_length: 39000
curren epsiode is 289, reward:-9.803298557897941,unbalance:342.85670806584596,buffer_length: 39000
curren epsiode is 290, reward:-6.678134919562865,unbalance:206.22527828683448,buffer_length: 39000
curren epsiode is 291, reward:-21.423099848053127,unbalance:1357.8175224462518,buffer_length: 40000
curren epsiode is 292, reward:-8.192204923772351,unbalance:321.5029553416281,buffer_length: 40000
curren epsiode is 293, reward:-4.9938531403131705,unbalance:88.1384045928678,buffer_length: 40000
curren epsiode is 294, reward:-5.478979325688527,unbalance:134.02531477953104,buffer_length: 40000
curren epsiode is 295, reward:-3.6850596181169233,unbalance:34.560767385220686,buffer_length: 40000
