buffer:0
buffer:1000
buffer:2000
buffer:3000
buffer:4000
buffer:5000
buffer:6000
buffer:7000
buffer:8000
buffer:9000
curren epsiode is 163, reward:-3.5844665556898936,unbalance:117.98689151051275,buffer_length: 27000
curren epsiode is 164, reward:-8.046348957522858,unbalance:213.6289850849439,buffer_length: 27000
curren epsiode is 165, reward:-5.926771622861048,unbalance:9.649649637544258,buffer_length: 27000
curren epsiode is 166, reward:-12.373625906446735,unbalance:303.29642791712746,buffer_length: 27000
curren epsiode is 167, reward:-6.319627564638149,unbalance:13.1429630508257,buffer_length: 27000
curren epsiode is 168, reward:-12.659116373515582,unbalance:621.6836411124102,buffer_length: 27000
curren epsiode is 169, reward:-7.756236804967631,unbalance:0.0,buffer_length: 27000
curren epsiode is 170, reward:-4.2380915264031485,unbalance:13.183160653322368,buffer_length: 27000
curren epsiode is 171, reward:-5.944863425341361,unbalance:23.120036436618307,buffer_length: 28000
curren epsiode is 172, reward:-5.474543286696153,unbalance:0.0,buffer_length: 28000
curren epsiode is 173, reward:-4.050907325869363,unbalance:20.036486754704242,buffer_length: 28000
curren epsiode is 174, reward:-7.576503931481913,unbalance:19.911814105426856,buffer_length: 28000
curren epsiode is 175, reward:-6.0268799817219625,unbalance:107.26641396802894,buffer_length: 28000
curren epsiode is 176, reward:-7.706735128565608,unbalance:57.09254224037926,buffer_length: 28000
curren epsiode is 177, reward:-14.72400453238719,unbalance:829.5474856619222,buffer_length: 28000
curren epsiode is 178, reward:-2.868946513787421,unbalance:31.73743879468534,buffer_length: 28000
curren epsiode is 179, reward:-3.4180780272576157,unbalance:5.336045270214271,buffer_length: 28000
curren epsiode is 180, reward:-9.796202270133854,unbalance:101.72301880746969,buffer_length: 28000
curren epsiode is 181, reward:-2.3450997835740153,unbalance:0.0,buffer_length: 29000
curren epsiode is 182, reward:-6.544204496444571,unbalance:70.97025566462591,buffer_length: 29000
curren epsiode is 183, reward:-10.35999950413774,unbalance:393.5049753102204,buffer_length: 29000
curren epsiode is 184, reward:-3.9037860021525885,unbalance:2.3489550385314004,buffer_length: 29000
curren epsiode is 185, reward:-14.740540396736765,unbalance:794.6951752535059,buffer_length: 29000
curren epsiode is 186, reward:-8.668468327827416,unbalance:210.67253920875785,buffer_length: 29000
curren epsiode is 187, reward:-6.030459193248266,unbalance:46.01758205582837,buffer_length: 29000
curren epsiode is 188, reward:-10.022904783118895,unbalance:137.43717383649553,buffer_length: 29000
curren epsiode is 189, reward:-5.658675603197726,unbalance:111.22594016963171,buffer_length: 29000
curren epsiode is 190, reward:-1.7669257307045247,unbalance:60.81548989299586,buffer_length: 29000
curren epsiode is 191, reward:-3.252097120409251,unbalance:49.007736980290375,buffer_length: 30000
curren epsiode is 192, reward:-10.25919861578701,unbalance:127.18357549055511,buffer_length: 30000
curren epsiode is 193, reward:-13.283897810357658,unbalance:119.68411344913042,buffer_length: 30000
curren epsiode is 194, reward:-2.307026431825144,unbalance:0.0,buffer_length: 30000
curren epsiode is 195, reward:-7.597401157603715,unbalance:157.46925730702432,buffer_length: 30000
curren epsiode is 196, reward:-1.2759319101466553,unbalance:26.878063507879865,buffer_length: 30000
curren epsiode is 197, reward:-19.54602103586421,unbalance:1032.6479196483551,buffer_length: 30000
curren epsiode is 198, reward:-20.822436417057293,unbalance:978.5524410032515,buffer_length: 30000
curren epsiode is 199, reward:-4.551071865370907,unbalance:41.88775941106442,buffer_length: 30000
curren epsiode is 200, reward:-4.592753473446148,unbalance:0.0,buffer_length: 30000
curren epsiode is 201, reward:-1.994060001751616,unbalance:0.0,buffer_length: 31000
curren epsiode is 202, reward:-17.52260047041936,unbalance:994.5380564837674,buffer_length: 31000
curren epsiode is 203, reward:-14.518339127811238,unbalance:823.9998059386495,buffer_length: 31000
curren epsiode is 204, reward:-19.58809954477677,unbalance:1041.9038055563956,buffer_length: 31000
curren epsiode is 205, reward:-3.159513100670575,unbalance:0.0,buffer_length: 31000
curren epsiode is 206, reward:-6.955969307566684,unbalance:110.15349678361144,buffer_length: 31000
curren epsiode is 207, reward:-9.891372623686689,unbalance:188.22301115385397,buffer_length: 31000
curren epsiode is 208, reward:-5.827349174903998,unbalance:20.64010109122114,buffer_length: 31000
