buffer:0
buffer:1000
buffer:2000
buffer:3000
buffer:4000
buffer:5000
buffer:6000
buffer:7000
buffer:8000
buffer:9000
D:\UCB\Capstone\RL-for-Cost-Savings-DRL\Optimal-Energy-System-Scheduling-Combining-Mixed-Integer-Programming-and-Deep-Reinforcement-Learning\MIP_DQN.py:185: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ..\torch\csrc\utils\tensor_new.cpp:248.)
  states = torch.as_tensor((state,), dtype=torch.float32, device=self.device)
curren epsiode is 148, reward:-7.7531752626415456,unbalance:0.0,buffer_length: 25000
curren epsiode is 149, reward:-2.428294718918354,unbalance:46.24072610111098,buffer_length: 25000
curren epsiode is 150, reward:-2.087573083836971,unbalance:14.182219128346276,buffer_length: 25000
curren epsiode is 151, reward:-22.021445166942154,unbalance:1214.044107746346,buffer_length: 26000
curren epsiode is 152, reward:-4.853936125367428,unbalance:98.02612332750371,buffer_length: 26000
curren epsiode is 153, reward:-5.3941906911089275,unbalance:9.902609719163962,buffer_length: 26000
curren epsiode is 154, reward:-0.8581498899351014,unbalance:0.0,buffer_length: 26000
curren epsiode is 155, reward:-7.355753808134753,unbalance:143.37547795333833,buffer_length: 26000
curren epsiode is 156, reward:-8.266463712077048,unbalance:60.21815338087086,buffer_length: 26000
curren epsiode is 157, reward:-7.216553991696058,unbalance:217.4007001739001,buffer_length: 26000
curren epsiode is 158, reward:-17.864469263770573,unbalance:817.2600586990213,buffer_length: 26000
curren epsiode is 159, reward:-3.3965674443708815,unbalance:0.0,buffer_length: 26000
curren epsiode is 160, reward:-17.981046383497493,unbalance:1137.7864811686293,buffer_length: 26000
curren epsiode is 161, reward:-3.039873613989929,unbalance:9.898989587156876,buffer_length: 27000
curren epsiode is 162, reward:-4.858724621301725,unbalance:88.69800843377709,buffer_length: 27000
curren epsiode is 163, reward:-4.521992312473297,unbalance:70.58701943816573,buffer_length: 27000
curren epsiode is 164, reward:-4.8946103510259,unbalance:14.127591415285671,buffer_length: 27000
curren epsiode is 165, reward:-7.0430248527842085,unbalance:159.5516765685319,buffer_length: 27000
curren epsiode is 166, reward:-5.499945321824379,unbalance:50.89054427681819,buffer_length: 27000
curren epsiode is 167, reward:-7.715054098954902,unbalance:133.4471442233026,buffer_length: 27000
curren epsiode is 168, reward:-4.803926685686258,unbalance:19.900608774557114,buffer_length: 27000
curren epsiode is 169, reward:-9.286139687919242,unbalance:156.371800650627,buffer_length: 27000
curren epsiode is 170, reward:-3.9228825352464787,unbalance:73.03938298923234,buffer_length: 27000
curren epsiode is 171, reward:-4.4391102433796155,unbalance:57.5817790030107,buffer_length: 28000
curren epsiode is 172, reward:-18.30597287208701,unbalance:1079.3241686044416,buffer_length: 28000
curren epsiode is 173, reward:-8.152235732558696,unbalance:191.81645718700494,buffer_length: 28000
curren epsiode is 174, reward:-7.010460954846556,unbalance:295.9122672991138,buffer_length: 28000
curren epsiode is 175, reward:-4.178728382634243,unbalance:47.3276982802862,buffer_length: 28000
curren epsiode is 176, reward:-6.768665413264698,unbalance:180.42495899617967,buffer_length: 28000
curren epsiode is 177, reward:-6.355087284305854,unbalance:157.0483779592284,buffer_length: 28000
curren epsiode is 178, reward:-6.926211727655767,unbalance:81.04622622717807,buffer_length: 28000
curren epsiode is 179, reward:-19.598735606066633,unbalance:1335.7297448938198,buffer_length: 28000
curren epsiode is 180, reward:-18.96537384692773,unbalance:1295.9193010615281,buffer_length: 28000
curren epsiode is 181, reward:-9.336306440434377,unbalance:411.9319854717868,buffer_length: 29000
curren epsiode is 182, reward:-18.251864139268143,unbalance:1048.1297738749763,buffer_length: 29000
curren epsiode is 183, reward:-3.772874661825644,unbalance:83.30493822199563,buffer_length: 29000
curren epsiode is 184, reward:-1.7688399820543639,unbalance:0.0,buffer_length: 29000
curren epsiode is 185, reward:-3.798174437623852,unbalance:41.698260796341984,buffer_length: 29000
curren epsiode is 186, reward:-6.812342751930664,unbalance:170.81039600789842,buffer_length: 29000
curren epsiode is 187, reward:-5.646713809377367,unbalance:155.63063508335173,buffer_length: 29000
curren epsiode is 188, reward:-19.819116947538568,unbalance:1396.0271724266115,buffer_length: 29000
curren epsiode is 189, reward:-17.46935341214714,unbalance:794.5022677766559,buffer_length: 29000
curren epsiode is 190, reward:-23.075192377668703,unbalance:1475.165011378938,buffer_length: 29000
