buffer:0
buffer:1000
buffer:2000
buffer:3000
buffer:4000
buffer:5000
buffer:6000
buffer:7000
buffer:8000
buffer:9000
curren epsiode is 291, reward:-9.197117001794101,unbalance:343.6460101041691,buffer_length: 40000
curren epsiode is 292, reward:-0.6134850069505746,unbalance:1.8660992991903846,buffer_length: 40000
curren epsiode is 293, reward:-5.713725654644657,unbalance:167.2787384768488,buffer_length: 40000
curren epsiode is 294, reward:-10.562959533009025,unbalance:325.33480099711164,buffer_length: 40000
curren epsiode is 295, reward:-15.26498840438299,unbalance:962.0658608429572,buffer_length: 40000
curren epsiode is 296, reward:-7.506908960794813,unbalance:243.27486795753282,buffer_length: 40000
curren epsiode is 297, reward:-9.534533138254297,unbalance:452.57336432324615,buffer_length: 40000
curren epsiode is 298, reward:-9.520908251472513,unbalance:453.00536032955,buffer_length: 40000
curren epsiode is 299, reward:-4.28644902779706,unbalance:6.203192532291169,buffer_length: 40000
curren epsiode is 300, reward:-8.719600636629162,unbalance:141.96285027693227,buffer_length: 40000
curren epsiode is 301, reward:-5.82692743430335,unbalance:130.30845939923938,buffer_length: 41000
curren epsiode is 302, reward:-3.2002266340645225,unbalance:19.02417175883896,buffer_length: 41000
